sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
234.7,7,place,0,ok,0.74321,-0.12096,1.1243,1.396264,-1.680691,-0.860659,0.769157,0.899257,1.111846,1.022472,80.0,-96.2965,-49.3121,44.0695,51.5236,63.7041,58.5834,0
234.75,7,place,0,ok,0.74488,-0.11647,1.12464,1.396264,-1.659327,-0.874107,0.765256,0.911809,1.122108,0.999306,80.0,-95.0724,-50.0826,43.846,52.2428,64.2921,57.256,0
234.8,7,place,0,ok,0.74713,-0.11229,1.12471,1.396264,-1.636075,-0.887443,0.758087,0.92481,1.134824,0.977725,80.0,-93.7402,-50.8467,43.4352,52.9877,65.0206,56.0195,0
234.85,7,place,0,ok,0.75024,-0.10878,1.1247,1.396264,-1.610658,-0.899149,0.74671,0.938927,1.149711,0.95915,80.0,-92.2839,-51.5174,42.7833,53.7965,65.8736,54.9552,1
234.9,7,place,0,ok,0.75384,-0.1058,1.12468,1.396264,-1.584369,-0.909444,0.732763,0.953561,1.165752,0.943269,80.0,-90.7777,-52.1073,41.9842,54.635,66.7927,54.0453,1
234.95,7,place,0,ok,0.75775,-0.10318,1.12463,1.396264,-1.557761,-0.918769,0.717211,0.968406,1.182454,0.929556,80.0,-89.2531,-52.6416,41.0932,55.4856,67.7496,53.2596,1
235.0,7,place,0,ok,0.7614,-0.1011,1.12457,1.396264,-1.533981,-0.926471,0.702347,0.981686,1.197726,0.919,80.0,-87.8906,-53.0829,40.2415,56.2465,68.6247,52.6548,1
235.05,7,place,0,ok,0.76386,-0.09993,1.12451,1.396264,-1.518709,-0.931072,0.692123,0.990219,1.207757,0.91332,80.0,-87.0156,-53.3465,39.6557,56.7354,69.1994,52.3294,1
235.1,7,place,0,ok,0.7647,-0.09954,1.12446,1.396264,-1.513432,-0.93276,0.688495,0.993162,1.211334,0.911468,80.0,-86.7133,-53.4432,39.4478,56.904,69.4043,52.2233,1
235.15,7,place,0,ok,0.76499,-0.09942,1.12442,1.396264,-1.511648,-0.933383,0.687214,0.994173,1.212605,0.910837,80.0,-86.611,-53.4789,39.3744,56.9619,69.4771,52.1871,1
235.2,7,place,0,ok,0.76509,-0.09938,1.1244,1.396264,-1.511045,-0.933613,0.686761,0.994519,1.213055,0.910619,80.0,-86.5765,-53.4921,39.3485,56.9817,69.5029,52.1746,1
235.25,7,place,0,ok,0.76512,-0.09937,1.12439,1.396264,-1.51084,-0.933697,0.686601,0.994636,1.213215,0.910544,80.0,-86.5648,-53.4969,39.3393,56.9885,69.5121,52.1703,1
235.3,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510771,-0.933727,0.686545,0.994677,1.213272,0.910517,80.0,-86.5608,-53.4986,39.3361,56.9908,69.5153,52.1688,1
235.35,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510747,-0.933738,0.686525,0.99469,1.213292,0.910508,80.0,-86.5594,-53.4993,39.335,56.9916,69.5165,52.1683,1
235.4,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510739,-0.933742,0.686518,0.994695,1.213299,0.910505,80.0,-86.559,-53.4995,39.3346,56.9918,69.5169,52.1681,1
235.45,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510736,-0.933744,0.686515,0.994697,1.213301,0.910504,80.0,-86.5588,-53.4996,39.3344,56.9919,69.5171,52.168,1
235.5,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510735,-0.933744,0.686514,0.994697,1.213302,0.910503,80.0,-86.5588,-53.4996,39.3344,56.992,69.5171,52.168,1
235.55,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510735,-0.933744,0.686514,0.994697,1.213303,0.910503,80.0,-86.5587,-53.4996,39.3344,56.992,69.5171,52.168,1
235.6,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510735,-0.933744,0.686514,0.994698,1.213303,0.910503,80.0,-86.5587,-53.4996,39.3344,56.992,69.5171,52.168,1
